No.,txn,taxon,max_age,min_age,FA_lb,FA_ub,LA_lb,LA_ub,No.,taxon,max_age,min_age,,taxon,max_age,min_age
105,50,Sinclairocystis_praedicta,187.4,186.6,456,455.2,456,454.15,50,Sinclairocystis_praedicta,5.65,4.85,TRUE,Sinclairocystis_praedicta,456,455.2
106,51,Wellerocystis_kimmswickensis,184.1,182.6,452.75,451.2,452.15,451.15,51,Wellerocystis_kimmswickensis,2.4,0.85,TRUE,Wellerocystis_kimmswickensis,452.75,451.2
,52,Cheirocystis_fultonensis,182.6,182.5,451.2,451.15,451.2,451.15,52,Cheirocystis_fultonensis,31.95,0,TRUE,Cheirocystis_fultonensis,483.1,451.15
29,53,Ambolostoma_baileyi,83.6,75.2,352.2,343.8,352.2,343.8,53,Ambolostoma_baileyi,360.7,353.8,TRUE,Ambolostoma_baileyi,352.2,343.8
30,54,Angioblastus_boliviensis,30.3,5.7,298.9,274.35,298.9,274.35,54,Angioblastus_boliviensis,314.6,306.95,TRUE,Angioblastus_boliviensis,298.9,274.35
31,55,Angioblastus_dotti,37.1,34.9,305.75,303.5,305.75,303.5,55,Angioblastus_dotti,314.6,306.95,TRUE,Angioblastus_dotti,305.75,303.5
32,56,Asterocrinus_benniei,62.4,61.7,331,330.35,331,330.35,56,Asterocrinus_benniei,345.3,345,TRUE,Asterocrinus_benniei,331,330.35
33,57,Brachyschisma_corrugatum,125.7,123.9,394.3,392.5,394.3,392.5,57,Brachyschisma_corrugatum,409.1,391.9,TRUE,Brachyschisma_corrugatum,394.3,392.5
34,58,Cryptoblastus_melo,82.3,80.3,350.9,348.9,350.9,348.9,58,Cryptoblastus_melo,360.7,353.8,TRUE,Cryptoblastus_melo,350.9,348.9
35,59,Codaster_acutus,62.4,61.7,331,330.35,331,330.35,59,Codaster_acutus,391.9,318.1,TRUE,Codaster_acutus,331,330.35
36,60,Cribroblastus_cornutus,75.2,70.3,343.8,338.9,335.55,331.25,60,Cribroblastus_cornutus,345,326.4,TRUE,Cribroblastus_cornutus,343.8,338.9
37,61,Cryptoschisma_schulzii,133.4,131.8,402,400.4,402,400.4,61,Cryptoschisma_schulzii,391.9,383.7,TRUE,Cryptoschisma_schulzii,402,400.4
38,62,Diploblastus_glaber,66.9,65.8,335.55,334.4,335.55,327.55,62,Diploblastus_glaber,345,326.4,TRUE,Diploblastus_glaber,335.55,334.4
39,63,Decaschisma_pulchellus,163.1,162.5,431.75,431.1,431.75,431.1,63,Decaschisma_pulchellus,428.2,422.9,TRUE,Decaschisma_pulchellus,431.75,431.1
40,64,Decemboblastus_melonoides,79.9,78.1,348.5,346.75,348.5,346.75,64,Decemboblastus_melonoides,360.7,345.3,TRUE,Decemboblastus_melonoides,348.5,346.75
41,65,Deliablastus_cumberlandensis,78.1,76.5,346.75,345.1,346.75,343.8,65,Deliablastus_cumberlandensis,353.8,345,TRUE,Deliablastus_cumberlandensis,346.75,345.1
42,66,Deltoblastus_permicus,21.9,14.7,290.5,283.3,290.5,283.3,66,Deltoblastus_permicus,290.1,279.5,TRUE,Deltoblastus_permicus,290.5,283.3
43,67,Deltoblastus_batheri,21.9,14.7,290.5,283.3,290.5,283.3,67,Deltoblastus_batheri,290.1,279.5,TRUE,Deltoblastus_batheri,290.5,283.3
44,68,Devonoblastus_whiteavesi,116.7,113.5,385.3,382.1,384.1,382.1,68,Devonoblastus_whiteavesi,388.1,383.7,TRUE,Devonoblastus_whiteavesi,385.3,382.1
45,69,Eleutherocrinus_cassadayi,115.5,113.5,384.1,382.1,381.8,380.75,69,Eleutherocrinus_cassadayi,391.9,383.7,TRUE,Eleutherocrinus_cassadayi,384.1,382.1
46,70,Elaeacrinus_verneuili,125.7,122.4,394.3,391.05,379.6,379.5,70,Elaeacrinus_verneuili,409.1,391.9,TRUE,Elaeacrinus_verneuili,394.3,391.05
47,71,Ellipticoblastus_ellipticus,76.6,76.5,345.2,345.1,345.2,345.1,71,Ellipticoblastus_ellipticus,345.3,345,TRUE,Ellipticoblastus_ellipticus,345.2,345.1
48,72,Granatocrinus_granulatus,78.1,76.5,346.75,345.1,346.75,343.8,72,Granatocrinus_granulatus,353.8,345,TRUE,Granatocrinus_granulatus,346.75,345.1
49,73,Globoblastus_norwoodi,79.9,78.1,348.5,346.75,348.5,346.75,73,Globoblastus_norwoodi,360.7,345.3,TRUE,Globoblastus_norwoodi,348.5,346.75
50,74,Hadroblastus_convexus,83.6,83.4,352.2,352,352.2,352,74,Hadroblastus_convexus,360.7,342.8,TRUE,Hadroblastus_convexus,352.2,352
51,75,Heteroschisma_alternatus,123.9,122.4,392.5,391.05,392.5,391.05,75,Heteroschisma_alternatus,388.1,383.7,TRUE,Heteroschisma_alternatus,392.5,391.05
52,76,Hydroblastus_herdyi,113.2,112.1,381.8,380.75,381.8,380.75,76,Hydroblastus_herdyi,388.1,383.7,TRUE,Hydroblastus_herdyi,381.8,380.75
53,77,Hyperoblastus_goldringae,115.5,113.5,384.1,382.1,384.1,382.1,77,Hyperoblastus_goldringae,388.1,383.7,TRUE,Hyperoblastus_goldringae,384.1,382.1
54,78,Iranoblastus_nodosus,50.5,50,319.15,318.65,319.15,318.65,78,Iranoblastus_nodosus,314.6,306.9,TRUE,Iranoblastus_nodosus,319.15,318.65
